"Attrition","Business_Travel","Age_Band","Attrition_Label","Department","Education_Field","emp_no","Gender","Job_Role","Marital_Status","Over_Time","Training_Times_Last_Year","Age","CF_current_Employee","Daily_Rate","Distance_From_Home","Education","Environment_Satisfaction","Hourly_Rate","Job_Involvement","Job_Level","Job_Satisfaction","Monthly_Income","Monthly_Rate","Num_Companies_Worked","Percent_Salary_Hike","Performance_Rating","Relationship_Satisfaction","Standard_Hours","Stock_Option_Level","Total_Working_Years","Work_Life_Balance","Years_At_Company","Years_In_Current_Role","Years_Since_Last_Promotion","Years_With_Curr_Manager"
"Yes","Travel_Rarely","35 - 44","Ex-Employees","Sales","Life Sciences","STAFF-1","Female","Sales Executive","Single","Yes",-2.17124293591921,0.446198557840864,-2.28012993234941,0.742273930764395,-1.01056543769991,"Associates Degree",-0.660305965845401,1.38266773166384,0.379542966731168,-0.0577678863078374,1.15286126037865,-0.108312653664899,0.725772953368072,2.12441296576259,-1.15016269006451,-0.426085014183104,-1.58363931284025,NA,-0.931697323608499,-0.421499018158432,-2.49297203912628,-0.164557108675315,-0.0632743665189886,-0.67891464284095,0.245750363404439
"No","Travel_Frequently","45 - 54","Current Employees","R&D","Life Sciences","STAFF-2","Male","Research Scientist","Married","No",0.155654110837465,1.32191535360331,0.438273150013633,-1.29733310688403,-0.147099660573606,"High School",0.254538303516276,-0.240594893288069,-1.02581764056056,-0.0577678863078374,-0.660628362688892,-0.291619349065811,1.48836963250397,-0.67781872475107,2.1285816300289,2.34535290992823,1.19103266555685,NA,0.241905988906063,-0.164455435211784,0.337981145513064,0.488341541129578,0.764737373388253,-0.368589852736411,0.806267096072439
"Yes","Travel_Rarely","35 - 44","Ex-Employees","R&D","Other","STAFF-4","Male","Laboratory Technician","Single","Yes",0.155654110837465,0.0083401599596423,-2.28012993234941,1.41388208046394,-0.887213183824723,"Associates Degree",1.16938257287795,1.28428817863645,-1.02581764056056,-0.961159299845294,0.246116448844881,-0.937334707140865,-1.67427109041944,1.32377533990155,-0.0572479167000435,-0.426085014183104,-0.658748653374549,NA,-0.931697323608499,-0.550020809631756,0.337981145513064,-1.14390508338265,-1.16729001972864,-0.67891464284095,-1.15554146826556
"No","Travel_Frequently","25 - 34","Current Employees","R&D","Life Sciences","STAFF-5","Female","Research Scientist","Married","Yes",0.155654110837465,-0.42951823792158,0.438273150013633,1.46096899870855,-0.763860929949537,"Master's Degree",1.16938257287795,-0.48654377585654,0.379542966731168,-0.961159299845294,0.246116448844881,-0.763373891922618,1.24278765108733,-0.67781872475107,-1.15016269006451,-0.426085014183104,0.26614200609115,NA,-0.931697323608499,-0.421499018158432,0.337981145513064,0.161892216227131,0.764737373388253,0.252059727472666,-1.15554146826556
"No","Travel_Rarely","25 - 34","Current Employees","R&D","Medical","STAFF-7","Male","Laboratory Technician","Married","No",0.155654110837465,-1.08630583474341,0.438273150013633,-0.524116344130311,-0.887213183824723,"High School",-1.57515023520708,-1.27358020007565,0.379542966731168,-0.961159299845294,-0.660628362688892,-0.644638732329212,0.325789028257551,2.52473177869312,-0.876933996723397,-0.426085014183104,1.19103266555685,NA,0.241905988906063,-0.67854260110508,0.337981145513064,-0.817455758480207,-0.615282193123816,-0.0582650626318726,-0.59502473559756
"No","Travel_Frequently","25 - 34","Current Employees","R&D","Life Sciences","STAFF-8","Male","Laboratory Technician","Single","No",-0.619978238081428,-0.538982837391885,0.438273150013633,0.501882821831349,-0.887213183824723,"Associates Degree",1.16938257287795,0.644821083958427,0.379542966731168,-0.961159299845294,1.15286126037865,-0.729601279444351,-0.344082188787397,-1.07813753768159,-0.603705303382279,-0.426085014183104,0.26614200609115,NA,-0.931697323608499,-0.421499018158432,-1.07749544680661,-0.00133244622409163,0.764737373388253,0.252059727472666,0.526008729738439
"No","Travel_Rarely","Over 55","Current Employees","R&D","Medical","STAFF-10","Female","Laboratory Technician","Married","Yes",0.155654110837465,2.41656134830636,0.438273150013633,1.29244739656992,-0.763860929949537,"Bachelor's Degree",0.254538303516276,0.743200636985815,1.7849035740229,-0.961159299845294,-1.56737317422267,-0.814139013823914,-0.611019125109838,0.5231377140405,1.30889555000555,2.34535290992823,-1.58363931284025,NA,2.58911261393519,0.092588147734864,-1.07749544680661,-0.98068042093143,-1.16729001972864,-0.67891464284095,-1.15554146826556
"No","Travel_Rarely","25 - 34","Current Employees","R&D","Life Sciences","STAFF-11","Male","Laboratory Technician","Divorced","No",-0.619978238081428,-0.757912036332496,0.438273150013633,1.37670819763924,1.82653640142937,"High School",1.16938257287795,0.0545437657940965,0.379542966731168,-0.961159299845294,0.246116448844881,-0.809253667364793,-0.137416802824075,-0.67781872475107,1.85535293668778,2.34535290992823,-0.658748653374549,NA,0.241905988906063,-1.3211515584717,0.337981145513064,-0.98068042093143,-1.16729001972864,-0.67891464284095,-1.15554146826556
"No","Travel_Frequently","35 - 44","Current Employees","R&D","Life Sciences","STAFF-12","Male","Manufacturing Director","Single","No",-0.619978238081428,0.117804759429948,0.438273150013633,-1.45346341474776,1.70318414755419,"Bachelor's Degree",1.16938257287795,-1.07682109402087,-1.02581764056056,0.84562352722962,0.246116448844881,0.642119043729563,-0.776379532505371,-1.07813753768159,1.58212424334666,2.34535290992823,-0.658748653374549,NA,-0.931697323608499,-0.164455435211784,0.337981145513064,0.325116878678354,0.764737373388253,-0.368589852736411,1.08652546240644
"No","Travel_Rarely","35 - 44","Current Employees","R&D","Medical","STAFF-13","Male","Healthcare Representative","Married","No",0.155654110837465,-0.101124439510663,0.438273150013633,1.23049092519543,2.19659316305493,"Bachelor's Degree",0.254538303516276,1.38266773166384,0.379542966731168,-0.0577678863078374,0.246116448844881,-0.268891867712511,0.318061906416638,1.32377533990155,-0.603705303382279,-0.426085014183104,-0.658748653374549,NA,1.41550930142062,0.735197105101484,-1.07749544680661,-0.00133244622409163,0.764737373388253,1.49335888789082,0.806267096072439
